Fecha,Ciclo Combinado
2021-07-05,23839.03
2021-07-05,24075.6773
2021-07-05,24120.4989
2021-07-05,23752.7167
2021-07-05,23656.7138
2021-07-05,24133.877
2021-07-05,24381.1249
2021-07-05,24225.2135
2021-07-05,23984.0299
2021-07-05,23977.637
2021-07-05,24074.4762
2021-07-05,24639.1075
2021-07-05,24846.3134
2021-07-05,25254.2313
2021-07-05,25296.0792
2021-07-05,25507.6915
2021-07-05,25479.8448
2021-07-05,25459.6546
2021-07-05,25488.9963
2021-07-05,25758.3139
2021-07-05,25822.466
2021-07-05,25691.8876
2021-07-05,25513.144
2021-07-06,24918.5708
2021-07-06,24431.0906
2021-07-06,24184.52
2021-07-06,24080.4353
2021-07-06,24166.0732
2021-07-06,24386.1813
2021-07-06,24337.1386
2021-07-06,24218.2534
2021-07-06,24147.2688
2021-07-06,23877.6507
2021-07-06,23646.4118
2021-07-06,23710.2904
2021-07-06,24099.7907
2021-07-06,24684.7532
2021-07-06,25016.1257
2021-07-06,25001.742
2021-07-06,24920.9372
2021-07-06,25217.2622
2021-07-06,25318.0142
2021-07-06,25781.1953
2021-07-06,26010.5429
2021-07-06,26073.0736
2021-07-06,26245.971
2021-07-06,25942.6283
2021-07-07,25819.7867
2021-07-07,25851.1667
2021-07-07,25149.6184
2021-07-07,24648.3795
2021-07-07,24547.983
2021-07-07,24677.9452
2021-07-07,24749.8259
2021-07-07,25178.1008
2021-07-07,25531.6095
2021-07-07,25526.347
2021-07-07,24970.1363
2021-07-07,24936.0018
2021-07-07,24957.8969
2021-07-07,24810.2013
2021-07-07,25017.487
2021-07-07,25228.5741
2021-07-07,25137.2151
2021-07-07,25335.88
2021-07-07,25865.6811
2021-07-07,26140.8731
2021-07-07,26452.4125
2021-07-07,26482.5477
2021-07-07,26653.9121
2021-07-07,26637.4352
2021-07-08,26324.2751
2021-07-08,26143.4594
2021-07-08,26236.0343
2021-07-08,26140.4504
2021-07-08,25813.4867
2021-07-08,25685.0243
2021-07-08,25575.533
2021-07-08,24982.1276
2021-07-08,24501.5373
2021-07-08,23920.1748
2021-07-08,23922.9687
2021-07-08,24400.7751
2021-07-08,25087.6137
2021-07-08,25249.8118
2021-07-08,25702.0729
2021-07-08,25811.5527
2021-07-08,26204.9897
2021-07-08,26249.9309
2021-07-08,26340.4408
2021-07-08,26577.26
2021-07-08,26731.2315
2021-07-08,26913.9782
2021-07-08,26911.046
2021-07-08,26666.2509
2021-07-09,26273.503
2021-07-09,26149.3286
2021-07-09,25932.7252
2021-07-09,25838.679
2021-07-09,25877.1069
2021-07-09,25642.3457
2021-07-09,25511.9741
2021-07-09,24984.7686
2021-07-09,24623.9514
2021-07-09,24259.2111
2021-07-09,24543.3612
2021-07-09,24166.1177
2021-07-09,24415.782
2021-07-09,25033.3703
2021-07-09,25111.3206
2021-07-09,25019.2425
2021-07-09,25501.1431
2021-07-09,25117.2665
2021-07-09,25374.0722
2021-07-09,25346.5817
2021-07-09,25709.0231
2021-07-09,25657.0446
2021-07-09,25692.4889
2021-07-09,25921.7711
2021-07-10,25528.1939
2021-07-10,24717.1909
2021-07-10,24445.4956
2021-07-10,24654.6869
2021-07-10,24589.1562
2021-07-10,24494.5588
2021-07-10,24287.6449
2021-07-10,23500.6351
2021-07-10,22819.3127
2021-07-10,21812.2888
2021-07-10,20986.6006
2021-07-10,21192.5913
2021-07-10,21793.5974
2021-07-10,22292.8002
2021-07-10,22491.2356
2021-07-10,23163.7146
2021-07-10,23744.9008
2021-07-10,23589.8443
2021-07-10,23788.3384
2021-07-10,24135.0677
2021-07-10,24657.175
2021-07-10,24866.346
2021-07-10,24814.3969
2021-07-10,24554.0603
2021-07-11,23504.9025
2021-07-11,23022.4687
2021-07-11,22912.798
2021-07-11,22431.8978
2021-07-11,22195.556
2021-07-11,21973.8554
2021-07-11,20923.0377
2021-07-11,19888.7021
2021-07-11,18566.3194
2021-07-11,17938.8388
2021-07-11,18008.9993
2021-07-11,18054.1643
2021-07-11,17648.5058
2021-07-11,17311.5086
2021-07-11,17550.5745
2021-07-11,18029.0421
2021-07-11,18794.5277
2021-07-11,19474.8107
2021-07-11,20373.1252
2021-07-11,21135.7789
2021-07-11,23131.2312
2021-07-11,23310.8052
2021-07-11,22846.8901
2021-07-11,22551.3667
2021-07-12,22142.0578
2021-07-12,21872.1201
2021-07-12,22132.8389
2021-07-12,22257.6279
2021-07-12,22082.5395
2021-07-12,22204.7996
2021-07-12,22530.7029
2021-07-12,23122.9389
2021-07-12,22985.4191
2021-07-12,23277.1791
2021-07-12,23013.7612
2021-07-12,22469.0348
2021-07-12,22448.7912
2021-07-12,22569.5556
2021-07-12,23396.8098
2021-07-12,24173.0244
2021-07-12,24633.4345
2021-07-12,24561.0178
2021-07-12,24879.7656
2021-07-12,25096.7979
2021-07-12,25468.5219
2021-07-12,25600.7327
2021-07-12,26041.4042
2021-07-12,25816.8946
2021-07-13,24966.2181
2021-07-13,24633.1947
2021-07-13,24334.6567
2021-07-13,24189.2545
2021-07-13,23785.1911
2021-07-13,23654.9992
2021-07-13,23859.887
2021-07-13,24121.2187
2021-07-13,24269.0274
2021-07-13,23902.7116
2021-07-13,23310.0946
2021-07-13,23268.3246
2021-07-13,23533.5217
2021-07-13,23691.8113
2021-07-13,23718.3913
2021-07-13,23719.054
2021-07-13,23932.5046
2021-07-13,23939.9381
2021-07-13,24656.9527
2021-07-13,25273.8869
2021-07-13,25562.1134
2021-07-13,25407.6137
2021-07-13,25288.8404
2021-07-13,25028.5475
2021-07-14,24891.1742
2021-07-14,24180.7782
2021-07-14,23208.1588
2021-07-14,22749.4344
2021-07-14,22369.2873
2021-07-14,22362.6635
2021-07-14,23051.6293
2021-07-14,23448.5464
2021-07-14,23660.3298
2021-07-14,22941.4297
2021-07-14,21911.4294
2021-07-14,21201.8405
2021-07-14,22057.8157
2021-07-14,23331.4767
2021-07-14,23634.9498
2021-07-14,24166.0191
2021-07-14,24355.8066
2021-07-14,24487.0051
2021-07-14,24816.9689
2021-07-14,25041.5291
2021-07-14,24946.9258
2021-07-14,25399.0139
2021-07-14,25358.7926
2021-07-14,25175.5421
2021-07-15,24739.6592
2021-07-15,24744.6325
2021-07-15,24695.3208
2021-07-15,24370.542
2021-07-15,24025.7012
2021-07-15,23989.7931
2021-07-15,24028.6342
2021-07-15,24366.9322
2021-07-15,24131.712
2021-07-15,23343.0187
2021-07-15,22367.3658
2021-07-15,22257.5051
2021-07-15,22492.7026
2021-07-15,22974.5803
2021-07-15,23764.6958
2021-07-15,24310.0703
2021-07-15,24874.3613
2021-07-15,25175.6757
2021-07-15,25523.5026
2021-07-15,25634.0903
2021-07-15,25900.6418
2021-07-15,25601.8825
2021-07-15,25283.8375
2021-07-15,24941.5929
2021-07-16,24781.2256
2021-07-16,24775.6574
2021-07-16,24701.4768
2021-07-16,24463.6759
2021-07-16,24484.7778
2021-07-16,24449.9812
2021-07-16,24374.4447
2021-07-16,24476.7789
2021-07-16,24219.0753
2021-07-16,24039.0925
2021-07-16,23449.815
2021-07-16,23485.5214
2021-07-16,23389.3651
2021-07-16,23250.0173
2021-07-16,23426.447
2021-07-16,23886.7778
2021-07-16,24036.1263
2021-07-16,24033.8225
2021-07-16,24299.0185
2021-07-16,24095.2605
2021-07-16,24518.1741
2021-07-16,24461.4907
2021-07-16,24677.6003
2021-07-16,25270.3989
2021-07-17,25026.5836
2021-07-17,24929.8829
2021-07-17,24713.6264
2021-07-17,24599.4091
2021-07-17,24319.7115
2021-07-17,23936.0995
2021-07-17,23926.2834
2021-07-17,23447.798
2021-07-17,22677.1599
2021-07-17,22460.9129
2021-07-17,22460.028
2021-07-17,22187.1422
2021-07-17,22075.5378
2021-07-17,21856.9424
2021-07-17,21654.2939
2021-07-17,21562.0831
2021-07-17,21892.9541
2021-07-17,22537.1971
2021-07-17,22943.9596
2021-07-17,23036.1273
2021-07-17,24036.7806
2021-07-17,24442.8599
2021-07-17,24385.0346
2021-07-17,24276.4559
2021-07-18,23500.8748
2021-07-18,22656.782
2021-07-18,22759.1946
2021-07-18,22435.0796
2021-07-18,22270.2591
2021-07-18,22127.0233
2021-07-18,21537.8722
2021-07-18,21276.7208
2021-07-18,19879.731
2021-07-18,18275.2786
2021-07-18,17567.4603
2021-07-18,17584.8346
2021-07-18,17930.1816
2021-07-18,18189.6951
2021-07-18,18534.3405
2021-07-18,18682.1854
2021-07-18,19161.7231
2021-07-18,20026.2835
2021-07-18,20663.8683
2021-07-18,21955.1441
2021-07-18,23643.4639
2021-07-18,23805.1545
2021-07-18,23549.5362
2021-07-18,23131.6539
2021-07-19,22680.7987
2021-07-19,22855.1555
2021-07-19,22563.5218
2021-07-19,22034.8455
2021-07-19,21957.6329
2021-07-19,22247.1939
2021-07-19,22678.6213
2021-07-19,23023.5902
2021-07-19,22477.6341
2021-07-19,22144.3998
2021-07-19,22283.1102
2021-07-19,22704.6086
2021-07-19,23374.6355
2021-07-19,23987.6668
2021-07-19,24229.8598
2021-07-19,24500.0627
2021-07-19,24674.428
2021-07-19,24927.491
2021-07-19,24519.2422
2021-07-19,24699.3404
2021-07-19,25167.1646
2021-07-19,25224.9893
2021-07-19,25381.0774
2021-07-19,25008.7025
2021-07-20,24609.7982
2021-07-20,24475.6344
2021-07-20,24226.1363
2021-07-20,24344.8185
2021-07-20,24251.0008
2021-07-20,24382.8367
2021-07-20,24541.2852
2021-07-20,24507.0725
2021-07-20,24424.2836
2021-07-20,24200.8325
2021-07-20,23955.6377
2021-07-20,23676.7073
2021-07-20,23749.3555
2021-07-20,23886.751
2021-07-20,23548.8901
2021-07-20,23787.7593
2021-07-20,24373.259
2021-07-20,24506.6317
2021-07-20,24498.7959
2021-07-20,24601.2266
2021-07-20,25284.6877
2021-07-20,25755.4617
2021-07-20,25862.5768
2021-07-20,25562.0775
2021-07-21,25168.6186
2021-07-21,24294.2537
2021-07-21,23940.4777
2021-07-21,23802.5616
2021-07-21,23766.1129
2021-07-21,23477.8524
2021-07-21,24327.2042
2021-07-21,24631.981
2021-07-21,24016.432
2021-07-21,23648.2383
2021-07-21,23514.3497
2021-07-21,23961.6445
2021-07-21,24444.3305
2021-07-21,24376.8513
2021-07-21,24053.8106
2021-07-21,23864.9204
2021-07-21,24208.8796
2021-07-21,24822.0868
2021-07-21,24933.0998
2021-07-21,25001.7944
2021-07-21,25456.4082
2021-07-21,26043.2633
2021-07-21,25725.8136
2021-07-21,25602.351
2021-07-22,24904.8958
2021-07-22,24339.7452
2021-07-22,23757.0901
2021-07-22,23270.6134
2021-07-22,22929.3656
2021-07-22,22916.7701
2021-07-22,23383.1371
2021-07-22,23675.6277
2021-07-22,23624.8436
2021-07-22,23494.1255
2021-07-22,23028.6208
2021-07-22,22913.6047
2021-07-22,22704.6305
2021-07-22,22449.0687
2021-07-22,22933.7006
2021-07-22,23277.0415
2021-07-22,23689.5489
2021-07-22,23913.0861
2021-07-22,24194.8133
2021-07-22,24795.0547
2021-07-22,25758.1499
2021-07-22,26090.2899
2021-07-22,25372.0595
2021-07-22,24337.4096
2021-07-23,23108.2335
2021-07-23,22822.1253
2021-07-23,22891.7627
2021-07-23,23138.1959
2021-07-23,22952.0177
2021-07-23,22868.1193
2021-07-23,23733.6493
2021-07-23,24064.137
2021-07-23,23158.7121
2021-07-23,21817.029
2021-07-23,20900.5907
2021-07-23,20728.7
2021-07-23,21190.3132
2021-07-23,21489.9558
2021-07-23,21609.0285
2021-07-23,22061.5741
2021-07-23,22744.8368
2021-07-23,22656.0025
2021-07-23,23257.3612
2021-07-23,23932.1207
2021-07-23,24216.5723
2021-07-23,24300.4816
2021-07-23,24370.5768
2021-07-23,24471.6036
2021-07-24,23934.6117
2021-07-24,23400.8594
2021-07-24,22811.0544
2021-07-24,22523.9328
2021-07-24,22488.4963
2021-07-24,22350.5302
2021-07-24,22461.224
2021-07-24,21902.2242
2021-07-24,21223.4459
2021-07-24,20442.1964
2021-07-24,20050.819
2021-07-24,20225.1504
2021-07-24,20509.3264
2021-07-24,20622.3913
2021-07-24,20627.0871
2021-07-24,20877.7249
2021-07-24,21222.3482
2021-07-24,21332.6679
2021-07-24,21319.598
2021-07-24,21669.6618
2021-07-24,23155.3098
2021-07-24,24680.7983
2021-07-24,24863.9155
2021-07-24,24103.3318
2021-07-25,23113.43
2021-07-25,22129.1069
2021-07-25,21422.1004
2021-07-25,20884.7528
2021-07-25,20596.1557
2021-07-25,20312.1283
2021-07-25,19717.2127
2021-07-25,18799.1748
2021-07-25,17380.0911
2021-07-25,16631.3951
2021-07-25,16303.5438
2021-07-25,16760.9986
2021-07-25,16991.5781
2021-07-25,17428.5162
2021-07-25,17658.3661
2021-07-25,18434.4227
2021-07-25,19405.5455
2021-07-25,20283.5597
2021-07-25,20715.4339
2021-07-25,21600.8111
2021-07-25,23183.7035
2021-07-25,23464.7823
2021-07-25,23529.7681
2021-07-25,23187.3112
2021-07-26,22810.1756
2021-07-26,22225.2686
2021-07-26,21877.4463
2021-07-26,21948.4452
2021-07-26,21970.5274
2021-07-26,22250.7755
2021-07-26,22508.4448
2021-07-26,22822.6182
2021-07-26,23012.5709
2021-07-26,23056.1691
2021-07-26,23542.362
2021-07-26,23576.6724
2021-07-26,24137.1927
2021-07-26,24176.9893
2021-07-26,24238.9104
2021-07-26,24578.7981
2021-07-26,24665.4833
2021-07-26,24822.7536
2021-07-26,24261.2888
2021-07-26,24512.3341
2021-07-26,24939.5464
2021-07-26,25391.7794
2021-07-26,26080.7897
2021-07-26,25552.3395
2021-07-27,24534.926
2021-07-27,24023.8897
2021-07-27,23945.86
2021-07-27,24018.8455
2021-07-27,24161.522
2021-07-27,24526.0337
2021-07-27,25337.71
2021-07-27,25441.8553
2021-07-27,25117.943
2021-07-27,24697.3163
2021-07-27,24739.3458
2021-07-27,25508.5317
2021-07-27,25295.0876
2021-07-27,25146.135
2021-07-27,25074.8619
2021-07-27,25305.4452
2021-07-27,25421.9358
2021-07-27,25402.9633
2021-07-27,25466.6357
2021-07-27,26121.2542
2021-07-27,26496.3908
2021-07-27,26976.966
2021-07-27,27022.8732
2021-07-27,26789.2782
2021-07-28,26348.0727
2021-07-28,25899.8562
2021-07-28,24702.2476
2021-07-28,24119.7179
2021-07-28,23938.3984
2021-07-28,24044.0073
2021-07-28,24297.463
2021-07-28,24872.0002
2021-07-28,24627.6144
2021-07-28,24727.9459
2021-07-28,24455.371
2021-07-28,24584.5477
2021-07-28,25124.8817
2021-07-28,25429.5225
2021-07-28,25911.3314
2021-07-28,25534.1801
2021-07-28,25484.1844
2021-07-28,25740.1422
2021-07-28,26163.4376
2021-07-28,26277.7695
2021-07-28,26433.5127
2021-07-28,26752.4726
2021-07-28,26642.9422
2021-07-28,26578.3708
2021-07-29,25767.9223
2021-07-29,25192.5159
2021-07-29,25336.9898
2021-07-29,25102.8341
2021-07-29,25169.8691
2021-07-29,25436.3288
